titles,type,genres,average_rating,release_year,weekly_hours_viewed
d.p.,TV Show,"Action, Crime, Drama",8.2,2021,6100000
young royals,TV Show,"Drama, Romance",8.2,2021,6290000
hometown cha-cha-cha,TV Show,"Comedy, Drama, Romance",8.3,2021,7520000
the club,TV Show,"Drama, History",7.8,2021,7860000
schumacher,Movie,"Biography, Documentary, Sport",7.4,2021,8040000
spider-man no way home,Movie,"Action, Adventure, Fantasy",8.2,2021,8080000
old henry,Movie,"Action, Drama, Western",7.3,2021,8100000
lupin,TV Show,"Action, Crime, Drama",7.5,2021,8500000
the chestnut man,TV Show,"Crime, Drama, Mystery",7.7,2021,8910000
house of secrets the burari deaths,TV Show,"Crime, Documentary, History",7.4,2021,9220000
arcane,TV Show,"Action, Adventure, Animation",9.1,2021,10010000
"nevertheless,",TV Show,"Drama, Romance",7.1,2021,10080000
aranyak,TV Show,"Crime, Drama, Mystery",7.7,2021,10360000
nobody,Movie,"Action, Crime, Drama",7.4,2021,10600000
my name,TV Show,"Action, Crime, Drama",7.8,2021,10820000
happiness,TV Show,"Action, Fantasy, Horror",7.8,2021,10820000
brand new cherry flavor,TV Show,"Drama, Horror, Mystery",7.1,2021,11140000
the unforgivable,Movie,"Crime, Drama, Mystery",7.1,2021,11340000
alrawabi school for girls,TV Show,Drama,7.1,2021,11500000
shadow and bone,TV Show,"Action, Adventure, Drama",7.5,2021,11620000
firefly lane,TV Show,"Drama, Romance",7.7,2021,11800000
our beloved summer,TV Show,"Drama, Romance",8.2,2021,11910000
true story,TV Show,"Crime, Drama, Thriller",7.4,2021,12160000
14 peaks nothing is impossible,Movie,"Adventure, Documentary, Sport",7.7,2021,12170000
squid game,TV Show,"Action, Drama, Mystery",8.0,2021,12700000
clickbait,TV Show,"Crime, Drama, Mystery",7.2,2021,13210000
the witcher nightmare of the wolf,Movie,"Action, Adventure, Animation",7.2,2021,13300000
maid,TV Show,Drama,8.3,2021,13960000
the chair,TV Show,"Comedy, Drama",7.2,2021,14020000
sweet tooth,TV Show,"Action, Adventure, Drama",7.7,2021,16660000
ginny & georgia,TV Show,"Comedy, Drama",7.5,2021,18510000
turning point 9/11 and the war on terror,TV Show,"Documentary, History, War",7.9,2021,18720000
